warehouseID,regionID,transportationCosts,travelTime
40,178,28590.082536767157,48.0
21,38,38585.21630427833,48.0
1,8,45120.632512828204,48.0
14,417,46225.32138196139,48.0
1,15,60681.7701646879,48.0
9,31,75802.2101772602,48.0
43,63,110815.56615937605,48.0
34,505,577527.0058481627,48.0
2,78,11169.206886899763,49.0
47,254,11664.570192732937,49.0
32,422,18634.7107206831,49.0
41,96,25164.11067697144,49.0
46,44,35312.97613030666,49.0
17,10,53384.08643194833,49.0
28,105,56238.77035838635,49.0
45,237,115613.87676573609,49.0
13,327,12584.277284829775,49.32538986206055
2,462,12007.474352725456,50.0
44,92,13628.621068143304,50.0
39,292,15940.305009668893,50.0
50,216,19371.508327536674,50.0
5,28,50811.26700225828,50.0
28,28,50811.26700225828,50.0
21,183,58092.6544298461,50.0
16,122,5319.469775181569,51.0
39,308,11934.320320137345,51.0
23,108,16341.137464171643,51.0
36,422,18848.90279793233,51.0
4,169,21007.42960721965,51.0
3,97,23282.666271008256,51.0
41,38,39250.47865435209,51.0
45,130,50558.958933478054,51.0
48,138,83799.30603638505,51.0
19,449,97365.63088322774,51.0
28,449,97365.63088322774,51.0
45,153,180563.45446689913,51.0
5,421,39593.53559198088,52.0
13,427,41040.425755156284,52.0
1,80,42661.74747769127,52.0
3,98,45303.32403864376,52.0
25,487,48529.812043024125,52.0
39,67,54750.39562084082,52.0
15,81,21570.685620721506,53.0
2,46,22610.381242020634,53.0
14,225,27666.67145071919,53.0
28,513,36089.4339770673,53.0
48,5,403209.26872511744,53.0
40,321,417785.35795827943,53.0
19,165,21087.924107915587,54.0
10,497,30980.86360850161,54.0
21,473,38172.31792635767,54.0
15,470,39338.37285107914,54.0
43,25,49556.36959295499,54.0
4,175,49775.509962387885,54.0
15,354,250143.1050077039,54.0
28,210,284112.5579111336,54.0
27,140,19250.17462204785,54.524696350097656
19,368,3904.57197697395,55.0
50,228,4422.588431871529,55.0
49,431,11638.206900253832,55.0
27,81,21824.458392729994,55.0
46,288,31982.00692185751,55.0
33,190,32016.95274433268,55.0
23,274,55811.28621149181,55.0
17,372,377114.1719322734,55.0
