regionID,zipCode,city,lat,lon,yearlyDemand,minutesPerStop
146,20700,ZUMARRAGA,43.0894,-2.31545,6079,16.6958460460974
147,16270,VILLALPARDO,39.4722,-1.6248,552,15.168860010673086
148,15270,CEE,42.95473333333334,-9.188116666666668,942,18.246892007956557
149,03790,ORBA,38.7705,-0.1012,1119,14.337160977023823
150,10880,ZARZA LA MAYOR,39.8769,-6.8621,933,16.84231640527927
151,21280,ARROYOMOLINOS DE LEON,38.0167,-6.4167,555,19.322328595625297
152,10693,RIOLOBOS,39.9205,-6.3047,414,16.41723664437383
153,45221,ESQUIVIAS,40.1047,-3.7664,14314,9.145487249441237
154,13360,GRANATULA DE CALATRAVA,38.7969,-3.7434,1283,13.69039070789115
155,46880,BOCAIRENT,38.7657,-0.6118,3509,19.599202694382058
156,20810,ORIO,43.270700000000005,-2.11995,5604,15.42417669343325
157,48610,URDULIZ,43.38191666666666,-2.9495166666666663,40235,8.361612411069965
158,17004,GIRONA,41.9823,2.8265,14293,11.900129506154812
159,31005,PAMPLONA,42.8054,-1.6419,17829,14.814770180459305
160,13650,PUERTO LAPICE,39.3236,-3.4815,1463,8.827002307486712
161,12596,TORREBLANCA,40.20745,0.21,1639,13.86270299189399
162,14870,ZUHEROS,37.5435,-4.3149,1081,20.785808469422737
163,18260,ILLORA,37.341,-3.879,1409,17.68994974535942
164,41310,BRENES,37.5491,-5.8709,3278,15.921753742093316
165,28812,PEZUELA DE LAS TORRES,40.4164,-3.23495,962,15.618654809656816
166,04120,CAÑADA DE SAN URBANO (LA,36.84616666666667,-2.39995,15547,14.11096155529053
167,18656,LECRIN,36.946371428571425,-3.5489285714285717,420,21.069839065373774
168,24420,FABERO,42.7685,-6.625,394,22.139332670458455
169,04270,SORBAS,37.0902,-2.1276,700,21.757694950334635
170,40250,MOZONCILLO,41.1457,-4.1873,805,15.499284972243418
171,31171,ORORBIA,42.8315,-1.772325,531,17.615731581619645
172,41960,GINES,37.3867,-6.078,39,20.702441727313797
173,44410,MOSQUERUELA,40.3614,-0.4481,131,14.91671231503963
174,44380,VILLARQUEMADO,40.5169,-1.2648,222,15.03409409307286
175,04459,OHANES,37.050250000000005,-2.7401,1337,26.52584207045727
176,41420,FUENTES DE ANDALUCIA,37.4641,-5.3461,700,13.878959557310898
177,23660,ALCAUDETE,37.5902,-4.0829,1784,16.464868507505912
178,40450,NAVA DE LA ASUNCION,41.1559,-4.4875,1318,15.997864848911819
179,04569,BENTARIQUE,36.98565,-2.6082,300,18.362326503579173
180,47420,ISCAR,41.3612,-4.5335,588,17.90437211157076
181,49400,FUENTESAUCO,41.2304,-5.4972,147,18.06870270580124
182,50230,ALHAMA DE ARAGON,41.2966,-1.8936,243,20.665814048910125
183,21410,ISLA-CRISTINA,37.2009,-7.3215,3706,11.429904799900015
184,14310,OBEJO,38.1328,-4.8002,671,23.223801392506022
185,04620,VERA,37.2475,-1.8684,3422,21.74103710345487
186,50177,BUJARALOZ,41.4977,-0.1529,1396,22.03280694793687
187,04647,GUAZAMARA,37.40370909090909,-1.7692181818181816,877,23.329216971225527
188,14930,MONTURQUE,37.4715,-4.5805,1643,17.829504465188005
189,04650,ZURGENA,37.34824,-2.02574,963,29.34350133647569
190,33680,COLLANZO DE ALLER,43.12292,-5.5642,1220,18.589077754564734
191,41809,ALBAIDA DEL ALJARAFE,37.4235,-6.1667,1563,13.988100417103485
192,33760,CASTROPOL,43.5265,-7.0299,1297,22.712102586982976
193,04712,BALERMA,36.7307,-2.8866,3022,15.272180819672498
194,41610,PARADAS,37.290125,-5.496449999999999,2864,14.589349673143055
195,29640,FUENGIROLA,36.5504,-4.6193,9547,16.90016420912054
196,27640,BECERREA,42.8371,-7.1636,546,24.850969890447768
197,45638,PEPINO,40.0318,-4.8033,10334,6.7144139681620745
198,04738,ALMERIA,36.81305999999999,-2.64072,4801,15.644286821420406
199,36770,ROSAL,42.0167,-8.8333,823,13.442377804393889
200,23430,RUS,38.0479,-3.4617,418,16.48093496792784
201,20014,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975,23757,12.509667202941253
202,43130,TARRAGONA,41.1917,1.60835,24727,8.689162573283111
203,31514,VALTIERRA,42.1949,-1.6334,2462,22.02347470409695
204,04830,VÉLEZ BLANCO,37.7333,-2.1092875,507,29.181572456190267
205,20001,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975,6850,15.358518687151927
206,15150,BAYO GRANDE,43.15481428571429,-8.9311,1162,18.080942897917893
207,32689,CUALEDRO,41.9822,-7.573416666666667,817,22.1827359749265
208,16622,PINAREJO,39.6158,-2.4258,433,18.360294095085877
209,04860,OLULA DEL RIO,37.35,-2.3,777,29.34350133647569
210,19001,GUADALAJARA,40.6332,-3.1662,17885,11.318434303141332
211,14700,PALMA DEL RIO,37.7002,-5.2812,2741,15.714950463977026
212,41460,"NAVAS DE LA CONCEPCION, LAS",37.9333,-5.4667,1350,19.86402708623508
213,04890,SERON,37.3449,-2.5091,214,27.507649114352997
